municipality,region,broadband_pct,households,measured
Commune-048,Ouest,49.8,39055,2025-06-30
Commune-049,Centre,52.1,1496,2025-06-30
Commune-050,Nord,45.8,26049,2025-06-30
Commune-051,Sud,99.3 %,39663,2025-06-30
Commune-052,Est,75.2,6785,2025-06-30
Commune-053,Ouest,34.3,9801,2025-06-30
Commune-054,Centre,45.9,17136,2025-06-30
Commune-055,Nord,32.1,40208,2025-06-30
Commune-056,Sud,53.8,19629,2025-06-30
Commune-057,Est,57.7,5078,2025-06-30
Commune-058,Ouest,,38400,2025-06-30
Commune-059,Centre,74.8,1226,2025-06-30
Commune-060,Nord,72.4,24569,2025-06-30
Commune-061,Sud,73.8,8547,2025-06-30
Commune-062,Est,96.8,31911,2025-06-30
Commune-063,Ouest,104.2,9105,2025-06-30
Commune-064,Centre,90.5,12191,2025-06-30
Commune-065,Nord,74.2,20579,2025-06-30
Commune-066,Sud,93.4,40216,2025-06-30
Commune-067,Est,48.4,12648,2025-06-30
Commune-068,Ouest,42.2 %,41430,2025-06-30
Commune-069,Centre,95.5,13093,2025-06-30
Commune-070,Nord,78.3,25651,2025-06-30
Commune-071,Sud,91.6,39763,2025-06-30
Commune-072,Est,36.8,3316,2025-06-30
Commune-073,Ouest,38.5,2746,2025-06-30
Commune-074,Centre,66.3,16933,2025-06-30
Commune-075,Nord,47.7,46385,2025-06-30
Commune-076,Sud,58.1,27788,2025-06-30
Commune-077,Est,87.6,39300,2025-06-30
Commune-078,Ouest,64.9,34293,2025-06-30
Commune-079,Centre,43.4,47419,2025-06-30
Commune-080,Nord,98.0,8493,2025-06-30
Commune-081,Sud,47.0,36868,2025-06-30
Commune-082,Est,76.0,40571,2025-06-30
Commune-083,Ouest,73.3,18574,2025-06-30
Commune-084,Centre,45.9,13577,2025-06-30
Commune-085,Nord,82.5 %,4742,2025-06-30
Commune-086,Sud,49.8,29419,2025-06-30
Commune-087,Est,,3263,2025-06-30
Commune-088,Ouest,43.4,24378,2025-06-30
Commune-089,Centre,67.6,8833,2025-06-30
Commune-090,Nord,37.7,9280,2025-06-30
Commune-091,Sud,92.2,21900,2025-06-30
Commune-092,Est,76.2,45509,2025-06-30
Commune-093,Ouest,67.0,9407,2025-06-30
Commune-094,Centre,71.6,1382,2025-06-30
Commune-095,Nord,63.8,23637,2025-06-30
Commune-096,Sud,79.2,2408,2025-06-30
Commune-097,Est,32.8,41902,2025-06-30
Commune-098,Ouest,36.5,4618,2025-06-30
Commune-099,Centre,81.2,21109,2025-06-30
Commune-100,Nord,40.7,4956,2025-06-30
Commune-101,Sud,36.5,35998,2025-06-30
Commune-102,Est,56.5 %,3124,2025-06-30
Commune-103,Ouest,92.8,46327,2025-06-30
Commune-104,Centre,40.2,22598,2025-06-30
Commune-105,Nord,55.4,45111,2025-06-30
Commune-106,Sud,63.7,5300,2025-06-30
Commune-107,Est,90.8,27548,2025-06-30
Commune-108,Ouest,95.8,2193,2025-06-30
Commune-109,Centre,90.3,37749,2025-06-30
Commune-110,Nord,32.4,43612,2025-06-30
Commune-111,Sud,57.5,38396,2025-06-30
Commune-112,Est,32.2,4944,2025-06-30
Commune-113,Ouest,36.9,42114,2025-06-30
Commune-114,Centre,39.3,17066,2025-06-30
Commune-115,Nord,91.4,47933,2025-06-30
Commune-116,Sud,,45702,2025-06-30
Commune-117,Est,71.0,29080,2025-06-30
Commune-118,Ouest,63.0,35681,2025-06-30
Commune-119,Centre,37.1 %,33930,2025-06-30
Commune-120,Nord,33.4,39615,2025-06-30
Commune-121,Sud,37.4,1670,2025-06-30
Commune-122,Est,47.1,45976,2025-06-30
Commune-123,Ouest,39.1,40482,2025-06-30
Commune-124,Centre,76.4,32079,2025-06-30
Commune-125,Nord,48.8,951,2025-06-30
Commune-126,Sud,56.5,9596,2025-06-30
Commune-127,Est,77.6,13485,2025-06-30
Commune-128,Ouest,66.8,22657,2025-06-30
Commune-129,Centre,76.4,29172,2025-06-30
Commune-130,Nord,65.4,16035,2025-06-30
Commune-131,Sud,53.7,43850,2025-06-30
Commune-132,Est,48.5,41771,2025-06-30
Commune-133,Ouest,60.8,13336,2025-06-30
Commune-134,Centre,91.4,25403,2025-06-30
Commune-135,Nord,46.4,20951,2025-06-30
Commune-136,Sud,45.7 %,9028,2025-06-30
Commune-137,Est,65.3,2868,2025-06-30
Commune-138,Ouest,79.9,18350,2025-06-30
Commune-139,Centre,87.5,7604,2025-06-30
Commune-140,Nord,62.1,18243,2025-06-30
Commune-141,Sud,94.5,27340,2025-06-30
Commune-142,Est,57.5,34287,2025-06-30
Commune-143,Ouest,65.1,20878,2025-06-30
Commune-144,Centre,80.3,41155,2025-06-30
Commune-145,Nord,,5104,2025-06-30
Commune-146,Sud,87.9,18437,2025-06-30
Commune-147,Est,90.9,2928,2025-06-30
Commune-148,Ouest,77.7,18630,2025-06-30
Commune-149,Centre,70.3,20462,2025-06-30
Commune-150,Nord,75.7,37174,2025-06-30
Commune-151,Sud,32.7,9115,2025-06-30
Commune-152,Est,59.0,12656,2025-06-30
Commune-153,Ouest,33.1 %,17669,2025-06-30
Commune-154,Centre,47.6,9442,2025-06-30
Commune-155,Nord,85.7,41443,2025-06-30
Commune-156,Sud,39.3,7354,2025-06-30
Commune-157,Est,74.4,43138,2025-06-30
Commune-158,Ouest,75.0,24372,2025-06-30
Commune-159,Centre,96.8,45068,2025-06-30
Commune-160,Nord,44.9,31348,2025-06-30
Commune-161,Sud,48.9,47017,2025-06-30
Commune-162,Est,32.1,31156,2025-06-30
Commune-163,Ouest,67.9,2580,2025-06-30
Commune-164,Centre,43.6,18059,2025-06-30
Commune-165,Nord,84.5,35579,2025-06-30
Commune-166,Sud,79.0,34316,2025-06-30
Commune-167,Est,65.5,10642,2025-06-30
Commune-168,Ouest,58.2,46071,2025-06-30
Commune-169,Centre,93.2,5925,2025-06-30
Commune-170,Nord,59.4 %,47551,2025-06-30
Commune-171,Sud,57.9,29734,2025-06-30
Commune-172,Est,62.3,41205,2025-06-30
Commune-173,Ouest,91.9,650,2025-06-30
Commune-174,Centre,,37487,2025-06-30
Commune-175,Nord,75.9,33151,2025-06-30
Commune-176,Sud,85.7,22695,2025-06-30
Commune-177,Est,63.0,42895,2025-06-30
Commune-178,Ouest,98.4,6695,2025-06-30
Commune-179,Centre,80.6,42258,2025-06-30
Commune-180,Nord,94.4,8302,2025-06-30
Commune-181,Sud,45.9,25783,2025-06-30
Commune-182,Est,98.3,20516,2025-06-30
Commune-183,Ouest,68.0,21207,2025-06-30
Commune-184,Centre,49.3,47282,2025-06-30
Commune-185,Nord,89.8,23049,2025-06-30
Commune-186,Sud,65.8,2643,2025-06-30
