employee_id,department,annual_salary_eur,years_service
EMP-0103,R&D,27677,11
EMP-0104,Support,25975,1
EMP-0105,Production,42928,5
EMP-0106,Logistique,31538,16
EMP-0107,Commercial,52279,21
EMP-0108,R&D,70664,17
EMP-0109,Support,28701,15
EMP-0110,Production,26958,19
EMP-0111,Logistique,,13
EMP-0112,Commercial,31055,11
EMP-0113,R&D,26807,16
EMP-0114,Support,30556,32
EMP-0115,Production,25751,6
EMP-0116,Logistique,36661,31
EMP-0117,Commercial,46328,32
EMP-0118,R&D,41783,14
EMP-0119,Support,17207,8
EMP-0120,Production,28899,3
EMP-0121,Logistique,48712,27
EMP-0122,Commercial,42592,15
EMP-0123,R&D,51784,11
EMP-0124,Support,20065,16
EMP-0125,Production,28127,20
EMP-0126,Logistique,25590,0
EMP-0127,Commercial,34856,17
EMP-0128,R&D,47078,32
EMP-0129,Support,31242,5
EMP-0130,Production,20490,25
EMP-0131,Logistique,21215,14
EMP-0132,Commercial,46453,24
EMP-0133,R&D,74045,31
EMP-0134,Support,14664,9
EMP-0135,Production,51376,32
EMP-0136,Logistique,20503,32
EMP-0137,Commercial,45304,1
EMP-0138,R&D,68518,14
EMP-0139,Support,24235,3
EMP-0140,Production,36531,15
EMP-0141,Logistique,29348,4
EMP-0142,Commercial,48304,34
EMP-0143,R&D,31082,30
EMP-0144,Support,23741,16
EMP-0145,Production,18373,14
EMP-0146,Logistique,29361,30
EMP-0147,Commercial,50111,2
EMP-0148,R&D,,4
EMP-0149,Support,29006,19
EMP-0150,Production,33153,30
EMP-0151,Logistique,22104,6
EMP-0152,Commercial,50514,18
EMP-0153,R&D,54086,29
EMP-0154,Support,26509,12
EMP-0155,Production,28079,30
EMP-0156,Logistique,19221,32
EMP-0157,Commercial,57168,17
EMP-0158,R&D,24503,13
EMP-0159,Support,31717,23
EMP-0160,Production,32172,23
EMP-0161,Logistique,29299,0
EMP-0162,Commercial,32170,26
EMP-0163,R&D,42121,21
EMP-0164,Support,32490,12
EMP-0165,Production,26395,25
EMP-0166,Logistique,19660,4
EMP-0167,Commercial,33804,17
EMP-0168,R&D,59542,3
EMP-0169,Support,33813,9
EMP-0170,Production,26311,32
EMP-0171,Logistique,19962,27
EMP-0172,Commercial,78557,13
EMP-0173,R&D,52515,26
EMP-0174,Support,24542,18
EMP-0175,Production,28655,8
EMP-0176,Logistique,22513,18
EMP-0177,Commercial,26189,16
EMP-0178,R&D,44299,30
EMP-0179,Support,28255,10
EMP-0180,Production,33393,32
EMP-0181,Logistique,43472,14
EMP-0182,Commercial,36735,28
EMP-0183,R&D,43512,15
EMP-0184,Support,20026,5
EMP-0185,Production,,12
EMP-0186,Logistique,27464,33
EMP-0187,Commercial,31396,3
EMP-0188,R&D,46901,23
EMP-0189,Support,18801,13
EMP-0190,Production,26507,27
EMP-0191,Logistique,42319,31
EMP-0192,Commercial,25610,33
EMP-0193,R&D,41039,9
EMP-0194,Support,50646,29
EMP-0195,Production,32092,19
EMP-0196,Logistique,30220,7
EMP-0197,Commercial,28863,12
EMP-0198,R&D,43855,0
EMP-0199,Support,17046,15
EMP-0200,Production,30523,15
EMP-0201,Logistique,20085,19
EMP-0202,Commercial,64169,5
EMP-0203,R&D,139028,23
EMP-0204,Support,23607,25
EMP-0205,Production,39094,13
EMP-0206,Logistique,29423,12
EMP-0207,Commercial,32185,18
EMP-0208,R&D,28536,11
EMP-0209,Support,39082,3
EMP-0210,Production,29048,9
EMP-0211,Logistique,25643,11
EMP-0212,Commercial,22974,20
EMP-0213,R&D,64021,11
EMP-0214,Support,31499,29
EMP-0215,Production,28243,21
EMP-0216,Logistique,28598,5
EMP-0217,Commercial,32281,7
EMP-0218,R&D,53084,24
EMP-0219,Support,18354,27
EMP-0220,Production,22537,28
EMP-0221,Logistique,23393,30
EMP-0222,Commercial,,25
EMP-0223,R&D,29615,21
EMP-0224,Support,24455,2
EMP-0225,Production,20714,20
EMP-0226,Logistique,39425,4
EMP-0227,Commercial,28842,24
EMP-0228,R&D,55952,31
EMP-0229,Support,51529,9
EMP-0230,Production,33469,20
EMP-0231,Logistique,27037,5
EMP-0232,Commercial,38358,10
EMP-0233,R&D,41279,2
EMP-0234,Support,26483,10
EMP-0235,Production,30921,28
EMP-0236,Logistique,24614,29
EMP-0237,Commercial,45372,34
EMP-0238,R&D,77233,7
EMP-0239,Support,32660,17
EMP-0240,Production,32629,16
