Entity,Code,Year,Annual CO₂ emissions
Latvia,LVA,2024,6461889
Lebanon,LBN,2024,15649973
Lesotho,LSO,2024,2571767
Liberia,LBR,2024,859369
Libya,LBY,2024,65260070
Liechtenstein,LIE,2024,131624
Lithuania,LTU,2024,12541509
Low-income countries,OWID_LIC,2024,208199410
Lower-middle-income countries,OWID_LMC,2024,4617956000
Luxembourg,LUX,2024,7039783
Macao,MAC,2024,1056328
Madagascar,MDG,2024,4528381
Malawi,MWI,2024,1881479
Malaysia,MYS,2024,290223840
Maldives,MDV,2024,2306210
Mali,MLI,2024,6978840
Malta,MLT,2024,1728766
Marshall Islands,MHL,2024,154480
Mauritania,MRT,2024,5238679
Mauritius,MUS,2024,4673616
Mexico,MEX,2024,460987650
Micronesia (country),FSM,2024,150626
Middle East (GCP),,2024,2968607000
Moldova,MDA,2024,5326843
Mongolia,MNG,2024,44693890
Montenegro,MNE,2024,2376258
Montserrat,MSR,2024,26579
Morocco,MAR,2024,69062344
Mozambique,MOZ,2024,8612630
Myanmar,MMR,2024,31603438
Namibia,NAM,2024,3469112
Nauru,NRU,2024,61390
Nepal,NPL,2024,18776082
Netherlands,NLD,2024,114784730
New Caledonia,NCL,2024,5286637
New Zealand,NZL,2024,32479432
Nicaragua,NIC,2024,5630346
Niger,NER,2024,3169958
Nigeria,NGA,2024,135824000
Niue,NIU,2024,7627
Non-OECD (GCP),,2024,26233051000
North America,OWID_NAM,2024,6084276000
North America (GCP),,2024,5899121700
North America (excl. USA),,2024,1180156500
North Korea,PRK,2024,62550270
North Macedonia,MKD,2024,6619636
Norway,NOR,2024,37183000
OECD (GCP),,2024,11173063000
Oceania,OWID_OCE,2024,436896640
Oceania (GCP),,2024,428551200
Oman,OMN,2024,82661976
Pakistan,PAK,2024,179800380
Palau,PLW,2024,226099
Palestine,PSE,2024,4780046
Panama,PAN,2024,12664428
Papua New Guinea,PNG,2024,8345442
Paraguay,PRY,2024,7936718
Peru,PER,2024,70246650
Philippines,PHL,2024,174878000
Poland,POL,2024,272861820
Portugal,PRT,2024,35538852
Qatar,QAT,2024,125812260
Romania,ROU,2024,68551400
Russia,RUS,2024,1780524400
Rwanda,RWA,2024,2033550
Ryukyu Islands (GCP),,2024,0
Saint Helena,SHN,2024,11391
Saint Kitts and Nevis,KNA,2024,259757.02
Saint Lucia,LCA,2024,536909
Saint Pierre and Miquelon,SPM,2024,55322
Saint Vincent and the Grenadines,VCT,2024,255656.98
Samoa,WSM,2024,245587
Sao Tome and Principe,STP,2024,141779
Saudi Arabia,SAU,2024,692133500
Senegal,SEN,2024,14091846
Serbia,SRB,2024,42019440
Seychelles,SYC,2024,652571
Sierra Leone,SLE,2024,1434283
Singapore,SGP,2024,53919460
Sint Maarten (Dutch part),SXM,2024,717645
Slovakia,SVK,2024,29090958
Slovenia,SVN,2024,12751194
Solomon Islands,SLB,2024,294648
Somalia,SOM,2024,1319185
South Africa,ZAF,2024,439830500
South America,OWID_SAM,2024,1109841200
South America (GCP),,2024,1109841200
South Korea,KOR,2024,583679170
South Sudan,SSD,2024,1695552
Spain,ESP,2024,220341280
Sri Lanka,LKA,2024,20825544
Sudan,SDN,2024,17794800
Suriname,SUR,2024,2987768
Sweden,SWE,2024,38096652
Switzerland,CHE,2024,32071708
Syria,SYR,2024,31778448
Taiwan,TWN,2024,262344820
Tajikistan,TJK,2024,10739768
Tanzania,TZA,2024,20018364
Thailand,THA,2024,267760200
Togo,TGO,2024,2753585
Tonga,TON,2024,152540
Trinidad and Tobago,TTO,2024,34576280
Tunisia,TUN,2024,32663696
Turkey,TUR,2024,513034600
Turkmenistan,TKM,2024,81005550
Turks and Caicos Islands,TCA,2024,378842
Tuvalu,TUV,2024,11440
Uganda,UGA,2024,6333810
Ukraine,UKR,2024,142497860
United Arab Emirates,ARE,2024,221988080
United Kingdom,GBR,2024,312905540
United States,USA,2024,4904120000
Upper-middle-income countries,OWID_UMC,2024,18711454000
Uruguay,URY,2024,7973270
Uzbekistan,UZB,2024,139234180
Vanuatu,VUT,2024,197079
Venezuela,VEN,2024,116042424
Vietnam,VNM,2024,370931330
Wallis and Futuna,WLF,2024,30508
World,OWID_WRL,2024,38598580000
Yemen,YEM,2024,10123090
Zambia,ZMB,2024,12043299
Zimbabwe,ZWE,2024,13701154
