Code,Entity,Year,value
GNB,"Guinea-Bissau",2023,64.0849
GNQ,"Equatorial Guinea",2023,63.7071
GRC,"Greece",2023,81.8568
GRD,"Grenada",2023,75.2052
GRL,"Greenland",2023,70.055
GTM,"Guatemala",2023,72.6023
GUF,"French Guiana",2023,76.9781
GUM,"Guam",2023,77.2093
GUY,"Guyana",2023,70.1802
HKG,"Hong Kong",2023,85.5106
HND,"Honduras",2023,72.8842
HRV,"Croatia",2023,78.5803
HTI,"Haiti",2023,64.9356
HUN,"Hungary",2023,77.024
IDN,"Indonesia",2023,71.1457
IMN,"Isle of Man",2023,80.999
IND,"India",2023,72.0026
IRL,"Ireland",2023,82.4118
IRN,"Iran",2023,77.6545
IRQ,"Iraq",2023,72.3242
ISL,"Iceland",2023,82.6911
ISR,"Israel",2023,82.408
ITA,"Italy",2023,83.7157
JAM,"Jamaica",2023,71.4789
JEY,"Jersey",2023,79.7071
JOR,"Jordan",2023,77.8145
JPN,"Japan",2023,84.7123
KAZ,"Kazakhstan",2023,74.4021
KEN,"Kenya",2023,63.6459
KGZ,"Kyrgyzstan",2023,71.677
KHM,"Cambodia",2023,70.6675
KIR,"Kiribati",2023,66.4731
KNA,"Saint Kitts and Nevis",2023,72.1447
KOR,"South Korea",2023,84.3288
KWT,"Kuwait",2023,80.4047
LAO,"Laos",2023,68.9637
LBN,"Lebanon",2023,77.817
LBR,"Liberia",2023,62.1625
LBY,"Libya",2023,69.3389
LCA,"Saint Lucia",2023,72.6968
LIE,"Liechtenstein",2023,83.6298
LKA,"Sri Lanka",2023,77.4828
LSO,"Lesotho",2023,57.3749
LTU,"Lithuania",2023,76.025
LUX,"Luxembourg",2023,82.2294
LVA,"Latvia",2023,76.1898
MAC,"Macao",2023,83.0749
MAF,"Saint Martin (French part)",2023,80.2238
MAR,"Morocco",2023,75.3128
MCO,"Monaco",2023,86.3724
MDA,"Moldova",2023,71.1985
MDG,"Madagascar",2023,63.6317
MDV,"Maldives",2023,81.0412
MEX,"Mexico",2023,75.069
MHL,"Marshall Islands",2023,66.9454
MKD,"North Macedonia",2023,77.3947
MLI,"Mali",2023,60.4394
MLT,"Malta",2023,83.2989
MMR,"Myanmar",2023,66.889
MNE,"Montenegro",2023,77.0869
MNG,"Mongolia",2023,71.7341
MNP,"Northern Mariana Islands",2023,78.8075
MOZ,"Mozambique",2023,63.6111
MRT,"Mauritania",2023,68.4836
MSR,"Montserrat",2023,76.1857
MTQ,"Martinique",2023,82.5651
MUS,"Mauritius",2023,74.9263
MWI,"Malawi",2023,67.3535
MYS,"Malaysia",2023,76.6571
MYT,"Mayotte",2023,76.0544
NAM,"Namibia",2023,67.3848
NCL,"New Caledonia",2023,78.7658
NER,"Niger",2023,61.1833
NGA,"Nigeria",2023,54.4623
NIC,"Nicaragua",2023,74.9468
NIU,"Niue",2023,69.9778
NLD,"Netherlands",2023,82.1576
NOR,"Norway",2023,83.3078
NPL,"Nepal",2023,70.3537
NRU,"Nauru",2023,62.1094
NZL,"New Zealand",2023,82.088
OMN,"Oman",2023,80.0305
OWID_KOS,"Kosovo",2023,78.0326
PAK,"Pakistan",2023,67.649
PAN,"Panama",2023,79.5937
PER,"Peru",2023,77.7401
PHL,"Philippines",2023,69.8327
PLW,"Palau",2023,69.269
PNG,"Papua New Guinea",2023,66.134
POL,"Poland",2023,78.6329
PRI,"Puerto Rico",2023,81.6902
PRK,"North Korea",2023,73.6418
PRT,"Portugal",2023,82.3599
PRY,"Paraguay",2023,73.8443
PSE,"Palestine",2023,65.1703
PYF,"French Polynesia",2023,84.0698
QAT,"Qatar",2023,82.368
REU,"Reunion",2023,83.5472
ROU,"Romania",2023,75.9381
RUS,"Russia",2023,73.1541
RWA,"Rwanda",2023,67.7852
SAU,"Saudi Arabia",2023,78.7321
SDN,"Sudan",2023,66.331
SEN,"Senegal",2023,68.6829
SGP,"Singapore",2023,83.7362
SHN,"Saint Helena",2023,76.7869
SLB,"Solomon Islands",2023,70.5277
SLE,"Sierra Leone",2023,61.7858
SLV,"El Salvador",2023,72.0993
SMR,"San Marino",2023,85.7062
SOM,"Somalia",2023,58.8158
SPM,"Saint Pierre and Miquelon",2023,76.7578
SRB,"Serbia",2023,76.7693
SSD,"South Sudan",2023,57.6174
STP,"Sao Tome and Principe",2023,69.7182
SUR,"Suriname",2023,73.631
SVK,"Slovakia",2023,78.3414
SVN,"Slovenia",2023,81.6034
SWE,"Sweden",2023,83.2624
SWZ,"Eswatini",2023,64.1227
SXM,"Sint Maarten (Dutch part)",2023,76.371
SYC,"Seychelles",2023,72.862
SYR,"Syria",2023,72.1201
TCA,"Turks and Caicos Islands",2023,78.0077
TCD,"Chad",2023,55.0692
TGO,"Togo",2023,62.7387
THA,"Thailand",2023,76.4115
TJK,"Tajikistan",2023,71.7901
TKL,"Tokelau",2023,77.0512
TKM,"Turkmenistan",2023,70.0727
TLS,"East Timor",2023,67.6894
TON,"Tonga",2023,72.8947
TTO,"Trinidad and Tobago",2023,73.4896
TUN,"Tunisia",2023,76.5077
TUR,"Turkey",2023,77.1557
TUV,"Tuvalu",2023,67.1049
TWN,"Taiwan",2023,80.5588
TZA,"Tanzania",2023,66.9953
UGA,"Uganda",2023,68.2523
UKR,"Ukraine",2023,73.4225
URY,"Uruguay",2023,78.1385
USA,"United States",2023,79.3043
UZB,"Uzbekistan",2023,72.3884
VAT,"Vatican",2023,82.9848
VCT,"Saint Vincent and the Grenadines",2023,71.2301
VEN,"Venezuela",2023,72.5142
VGB,"British Virgin Islands",2023,77.2758
VIR,"United States Virgin Islands",2023,75.4724
VNM,"Vietnam",2023,74.5883
VUT,"Vanuatu",2023,71.4769
WLF,"Wallis and Futuna",2023,78.6286
WSM,"Samoa",2023,71.6982
YEM,"Yemen",2023,69.2952
ZAF,"South Africa",2023,66.1387
ZMB,"Zambia",2023,66.3487
ZWE,"Zimbabwe",2023,62.7748
